Kind,Name,PercentLackOfCohesion,LCOM,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled
Private Static Method,main.Main.pub,,,,6,,4,,,,
Private Static Method,main.Main.register,,,,3,,1,,,,
Private Static Method,main.Main.reserve,,,,6,,4,,,,
Private Static Method,main.Main.search,,,,25,,4,,,,
Private Static Method,main.Main.unsubscribe,,,,10,,5,,,,
Public Class,main.MainServer,66,,2,74,3,4,1,0,1,11
Public Constructor,main.MainServer.MainServer,,,,1,,0,,,,
Public Method,main.MainServer.addAdmin,,,,1,,0,,,,
Public Method,main.MainServer.addCity,,,,1,,0,,,,
Public Method,main.MainServer.addPassenger,,,,1,,0,,,,
Public Method,main.MainServer.cancel,,,,2,,1,,,,
Public Method,main.MainServer.checkPass,,,,1,,0,,,,
Private Method,main.MainServer.checkPermission,,,,3,,1,,,,
Public Method,main.MainServer.createFlightDaemon,,,,2,,1,,,,
Public Method,main.MainServer.deleteCity,,,,3,,2,,,,
Public Method,main.MainServer.deleteFlight,,,,3,,2,,,,
Public Method,main.MainServer.deleteFlightDaemon,,,,3,,0,,,,
Class,main.MainServer.deleteFlightDaemon.(Anon_1),0,,1,1,1,0,1,0,2,3
Public Method,main.MainServer.deleteFlightDaemon.(Anon_1).test,,,,1,,0,,,,
Public Method,main.MainServer.deleteUser,,,,4,,2,,,,
Public Method,main.MainServer.dispalyUser,,,,2,,1,,,,
Public Method,main.MainServer.dispalyUser,,,,3,,1,,,,
Public Method,main.MainServer.displayCity,,,,2,,1,,,,
Public Method,main.MainServer.displayCity,,,,3,,1,,,,
Public Method,main.MainServer.displayDaemon,,,,2,,1,,,,
Public Method,main.MainServer.displayFlight,,,,2,,1,,,,
Public Method,main.MainServer.displayFlight,,,,5,,4,,,,
Private Method,main.MainServer.displayOrder,,,,2,,1,,,,
Public Method,main.MainServer.displayOrder,,,,2,,1,,,,
Public Method,main.MainServer.getCity,,,,1,,0,,,,
Public Method,main.MainServer.getCurrentUser,,,,1,,0,,,,
Public Method,main.MainServer.getDaemon,,,,1,,0,,,,
Public Method,main.MainServer.getFlight,,,,1,,0,,,,
Public Method,main.MainServer.isAdmin,,,,1,,0,,,,
Public Method,main.MainServer.isLogin,,,,1,,0,,,,
Public Method,main.MainServer.login,,,,4,,3,,,,
Public Method,main.MainServer.pay,,,,2,,1,,,,
Public Method,main.MainServer.reserveFlight,,,,3,,1,,,,
Public Method,main.MainServer.search,,,,7,,2,,,,
Public Method,main.MainServer.search,,,,3,,2,,,,
Public Method,main.MainServer.stop,,,,1,,0,,,,
